CompanyNumber,CompanyName,BestEstimateEmployees,BestEstimateTurnover,WomenLed,IUK_GBP,Investment_GBP,RegisteredPostcode,Homepage_domain,financials_source
NI615294,EASTSIDE GREENWAYS,24.0,54542.0,1,0.0,0.0,BT4 1HE,www.eastsidegreenways.com,DC
NI615811,VELOCITY 42 LIMITED,12.0,603900.0,0,0.0,0.0,BT1 5GB,www.velocity42.com,DC
NI616116,PALE BLUE DOT CREATIVE LIMITED,26.0,648310.0,1,0.0,0.0,BT2 7FF,palebluedot.tv,DC
NI618621,AXIAL MEDICAL PRINTING LIMITED,80.0,1739743.0,0,3367638.04,30140550.52,BT2 8HD,axial3d.co.uk,DC
NI618886,GLOR NA MONA TEO,36.0,1338226.0,0,0.0,0.0,BT12 7RG,www.glornamona.com,DC
NI619722,SD EVENT MANAGEMENT LIMITED,290.0,9176180.0,0,0.0,0.0,BT2 8HD,www.shine.net,DC
NI622880,SCILEADS LTD.,68.0,3422100.0,0,0.0,3030014.12,BT1 1LU,scileads.com,DC
NI623964,AMPHORA TECHNOLOGIES LIMITED,17.0,2969101.0,0,5000.0,0.0,BT28 2GN,amphoraconsulting.co.uk,DC
NI624702,CALLOW EVENT MANAGEMENT LIMITED,17.0,1330539.0,1,0.0,0.0,BT1 1EX,callowevents.co.uk,DC
NI625210,DAVID HENDERSON DESIGN LTD,28.0,1995420.0,0,0.0,0.0,BT2 8HS,wearedhd.com,DC
NI628713,DEMENTIA (NI),28.0,837583.0,1,0.0,0.0,BT15 2GB,www.dementiani.org,DC
NI629518,DAWSON ANDREWS LTD,51.0,2214828.0,0,0.0,0.0,BT2 8HD,www.dawsonandrews.com,DC
NI630004,TERRY BRADLEY ART LIMITED,30.0,748050.0,1,0.0,0.0,BT20 5BD,www.terrybradley.com,DC
NI632026,GP FEDERATION SUPPORT UNIT C.I.C.,415.0,12740500.0,0,0.0,0.0,BT8 6RB,federationsupportunit.co.uk,DC
NI634755,TCMC CROWDED SPACE LTD,88.0,904170.0,0,0.0,0.0,BT4 2LG,crowdedspacedrones.com,DC
NI638582,FIGHTING WORDS NORTHERN IRELAND,14.0,609204.0,0,0.0,0.0,BT7 1NH,youngatart.co.uk,DC
NI638793,MYTH DIGITAL LTD,27.0,547830.0,0,0.0,0.0,BT1 6PJ,myth.digital,DC
NI640434,STELLAR ENTERTAINMENT SOFTWARE LIMITED,90.0,3532320.0,0,0.0,0.0,BT1 6JH,stellarentertainment.software,DC
NI642349,CRAFT NORTHERN IRELAND,16.0,289853.0,1,0.0,0.0,BT1 1FF,craftni.org,DC
NI642518,ARDOYNE ASSOCIATION,15.0,553620.0,1,0.0,0.0,BT14 7NN,flaxtrust.com,DC
NI645127,STUDIO IDIR LTD,13.0,467428.0,1,0.0,0.0,BT4 3DW,www.studioidir.com,DC
NI653279,GRADIENT EDGE LTD,33.0,1660725.0,0,49644.0,0.0,BT2 8HS,gradientedge.com,DC
NI654642,SOMERVILLE ENTERPRISE HOLDINGS LTD,148.0,12725960.0,0,0.0,0.0,BT16 1XJ,www.somervilles.co.uk,DC
NI656357,PLATFORM MARKETING AGENCY LTD.,14.0,654724.0,0,0.0,0.0,BT12 5JJ,www.platformmarketing.agency,DC
NI656639,RESONATE BRANDING LTD,17.0,225301.0,0,0.0,0.0,BT28 2DX,resonatebranding.co.uk,DC
NI663439,RAPID AGENCY (NI) LTD,28.0,1309448.0,1,0.0,0.0,BT3 9AD,rapidmarketing.co.uk,DC
NI664248,KIM CONSTABLE LIMITED,24.0,773472.0,1,0.0,0.0,BT4 2AW,kimconstable.com,DC
NI665521,PAUL HAMPTON CAFE LTD,19.0,558391.0,0,0.0,0.0,BT26 6HJ,paulhamptonhome.com,DC
NI671783,CHAMBERS OF DISTINCTION LTD,27.0,1963224.0,1,0.0,0.0,BT9 6RX,www.chambersofdistinction.com,DC
NI673269,CCJK LIMITED,42.0,1813686.0,0,0.0,0.0,BT9 7GT,www.ccjk.com,DC
NI676563,EVENTSEC HOLDINGS LIMITED,2360.0,11366356.0,0,0.0,0.0,BT3 9QQ,www.eventsec.co.uk,DC
NI677319,OCULA TECHNOLOGIES LIMITED,22.0,1205245.0,0,0.0,5210034.26,BT1 6DN,ocula.tech,DC
NI678266,JHL RETAIL LIMITED,18.0,852875.0,0,0.0,0.0,BT1 5FE,lunns.com,DC
00048350,ASTON-MANSFIELD,70.0,1795874.0,0,0.0,0.0,E12 5JF,www.aston-mansfield.org.uk,DC
00157371,BANG & OLUFSEN U.K. LIMITED,65.0,25010843.0,1,0.0,0.0,W1S 4HQ,www.bang-olufsen.com,DC
00209494,ANTHROPOSOPHICAL ASSOCIATION LIMITED(THE),33.0,1436698.0,1,0.0,0.0,NW1 6XT,www.marylebonetheatre.com,DC
00551817,EUROPEAN MOVEMENT OF THE UNITED KINGDOM LTD,30.0,710739.0,1,0.0,0.0,SW1E 5HX,www.europeanmovement.co.uk,DC
00620951,LEUMI UK GROUP LIMITED,148.0,279271721.0,0,0.0,0.0,EC2R 7HJ,www.leumiuk.com,DC
00654722,FANFARE PROPERTIES LIMITED,14.0,552888.0,1,0.0,0.0,W1S 3DG,oandh.com,DC
00683989,AFRICA CENTRE LIMITED(THE),22.0,437988.0,1,0.0,0.0,SE1 0BL,www.africacentre.org.uk,DC
00861590,PENGUIN BOOKS LIMITED,958.0,253347200.0,0,0.0,0.0,SW11 7BW,www.penguin.co.uk,DC
00883094,LONDON CONTEMPORARY DANCE (THE PLACE) LIMITED,392.0,11665604.0,1,0.0,0.0,WC1H 9PY,theplace.org.uk,DC
00906767,KENTON THEATRE(HENLEY-ON-THAMES)MANAGEMENT SOCIETY LIMITED(THE),17.0,971346.0,1,0.0,0.0,RG9 2BS,thekenton.org.uk,DC
00909942,TRAFALGAR UK THEATRES GLASGOW LIMITED,92.0,2434000.0,0,0.0,0.0,GU7 1LQ,trafalgartickets.com,DC
00938592,POLKA CHILDREN'S THEATRE LIMITED,55.0,2481472.0,1,0.0,0.0,SW19 1SB,polkatheatre.com,DC
00978557,C.HURST & CO.(PUBLISHERS)LIMITED,19.0,292543.0,0,0.0,0.0,WC2R 1LA,www.hurstpublishers.com,DC
00995670,MEMAC OGILVY LIMITED,12.0,10079662.0,0,0.0,0.0,SE1 9RQ,www.ogilvy.com,DC
01003653,WPP 2005 LIMITED,1998.0,454949544.0,0,0.0,0.0,SE1 9GL,wpp.com,DC
01094956,DLT ENTERTAINMENT UK LIMITED,35.0,3223780.0,0,0.0,0.0,WC1B 3RA,www.dltentertainment.com,DC
01195756,ADVERTISING STANDARDS BOARD OF FINANCE LIMITED(THE),54.0,8601765.0,0,0.0,0.0,WC2E 8LH,advertisinglevy.co.uk,DC
01247285,ROYAL NATIONAL THEATRE ENTERPRISES LIMITED,63.0,31891301.0,1,0.0,0.0,SE1 9PX,www.nationaltheatre.org.uk,DC
01278694,PORTAPROMPT LIMITED,21.0,3667713.0,0,0.0,0.0,HP12 4JQ,www.portaprompt.co.uk,DC
01279396,CHILTERN OPEN-AIR MUSEUM LIMITED,61.0,919393.0,1,0.0,0.0,HP8 4AB,www.coam.org.uk,DC
01312292,SPITALFIELDS HISTORIC BUILDINGS TRUST(THE),12.0,2274440.0,0,0.0,0.0,E1 6BX,www.thespitalfieldstrust.com,DC
01332638,TULLO MARSHALL WARREN LIMITED,459.0,83642019.0,0,0.0,0.0,W1F 9AF,www.tmwunlimited.com,DC
01359915,C.N. ROSS-FIELD MANUFACTURING JEWELLERS LIMITED,13.0,146458.0,1,0.0,0.0,EC1N 8AN,londonpawnbrokersltd.com,DC
01389061,DUNWOODY BUILDING LEGISLATION LTD,19.0,1034949.0,0,0.0,0.0,N11 1NP,dbl.uk.com,DC
01389155,PARK LANE AMERICA HOLDINGS LIMITED,77.0,1290780.0,0,0.0,0.0,WD4 8LR,www.srm.com,DC
01399882,GILROY CORPORATE COMMUNICATIONS LIMITED,40.0,2013000.0,1,0.0,0.0,RG27 9BE,www.gilroy.co.uk,DC
01410966,CPL PRODUCTIONS LIMITED,276.0,69946686.0,0,0.0,0.0,WC2A 3HP,www.cplproductions.co.uk,DC
01444368,THE AMBASSADOR THEATRE GROUP (VENUES) LIMITED,2869.0,133270332.0,0,0.0,0.0,GU21 6EJ,www.atgentertainment.com,DC
01495932,HIRSH LIMITED,31.0,2260923.0,1,0.0,0.0,W1S 2YW,www.hirshlondon.com,DC
01546033,ALMEIDA THEATRE COMPANY LIMITED,323.0,11379281.0,1,474431.0,1.0,N1 1TA,almeida.co.uk,DC
01552998,THE ARTISTS PARTNERSHIP LIMITED,63.0,2487996.0,0,0.0,0.0,W1D 7DP,theartistspartnership.co.uk,DC
01608690,BUCKINGHAM FINE ART PUBLISHERS LIMITED,56.0,1533280.0,0,0.0,0.0,CV34 6LG,www.bucksfineart.com,DC
01655537,BELLA FIGURA LIMITED,29.0,5068330.0,0,0.0,0.0,SW10 0XE,www.bella-figura.com,DC
01660783,VML(UK) LIMITED,518.0,79372164.0,1,0.0,0.0,SE1 9PD,www.vml.com,DC
01710669,NAFSIYAT,41.0,810699.0,1,0.0,0.0,N19 3QP,www.nafsiyat.org.uk,DC
01724399,SAAB UK LTD,241.0,91931128.0,0,252009.0,0.0,SW1Y 5AU,saab.com,DC
01765758,NIELSEN MEDIA RESEARCH LIMITED,315.0,72677500.0,0,0.0,0.0,WC2H 8JR,www.nielsen.com,DC
01796513,OVALHOUSE THEATRE LIMITED,86.0,1942433.0,0,0.0,0.0,SW9 8GL,brixtonhouse.co.uk,DC
01796766,FROMEWILL LIMITED,16.0,4132160.0,1,0.0,0.0,HA9 9PR,fromewill.com,DC
01847467,BRITANNIA ROW PRODUCTIONS LIMITED,207.0,66156784.0,0,0.0,0.0,KT13 0YX,www.britanniarow.com,DC
01897720,KIN AND CARTA UK LIMITED,849.0,95886170.0,0,0.0,0.0,N1 9PD,www.valtech.com,DC
01917001,BLINK PRODUCTIONS LIMITED,95.0,3091430.0,0,0.0,0.0,W1D 3SH,blinkprods.com,DC
01956275,BINARY VISION LIMITED,17.0,1184747.0,0,0.0,0.0,N3 2DN,www.binaryvision.com,DC
01983028,DJE CONSULTING LTD,20.0,11398348.0,0,0.0,0.0,SW1P 1DE,www.edelman.com,DC
01998672,BAYSWATER COLLEGE LIMITED,180.0,8615520.0,0,0.0,0.0,W2 4SB,eurocentres.com,DC
02016836,THEATRE PECKHAM,40.0,1317804.0,1,0.0,0.0,SE5 7SB,www.theatrepeckham.co.uk,DC
02045556,CAMPAIGN FOR NATIONAL PARKS,13.0,346723.0,1,0.0,0.0,SE1 3GN,www.cnp.org.uk,DC
02057591,ELECTRONIC ARTS LIMITED,2410.0,248958293.0,1,955651.0,804210020.6,GU1 4TN,www.ea.com,DC
02059664,TARA ARTS GROUP,15.0,1005908.0,1,0.0,0.0,SW18 4ES,taratheatre.com,DC
02142261,ZENITH INTERNATIONAL (MEDIA) LIMITED,690.0,60147055.0,1,0.0,0.0,W12 7FR,www.performics.com,DC
