Companynumber,Companyname,Latitude,Longitude,Sector,cluster,Region
12154703,O&H Vehicle Conversions,53.701815,-0.892675,Advanced Manufacturing,0,Hull and East Yorkshire
12224864,Arkay Windows,51.641646,-0.426403,Advanced Manufacturing,14,London
12283628,Maycast-Nokes,51.941436,0.638158,Advanced Manufacturing,0,Essex
12309335,Delta Fire,52.635634,1.37396,Advanced Manufacturing,0,New Anglia
12310063,Window Widgets,51.807624,-2.29109,Advanced Manufacturing,20,Gloucestershire
12325826,Severn,51.83132,-2.27422,Advanced Manufacturing,20,Gloucestershire
12327570,Optimised,53.776912,-3.028709,Advanced Manufacturing,0,Lancashire
12333392,C365Cloud,53.655864,-1.519504,Advanced Manufacturing,10,West Yorkshire CA
12411131,Polar Technology Holdings Limited,51.782739,-1.386708,Advanced Manufacturing,29,Oxfordshire
12417975,Structural Steelwork,52.500632,-2.096955,Advanced Manufacturing,25,West Midlands CA
12458764,The Sleep People,53.69312,-1.590032,Advanced Manufacturing,10,West Yorkshire CA
12472614,ISIS Fluid Control,51.938068,-1.556197,Advanced Manufacturing,0,Oxfordshire
12480551,Armstrong Group,52.464252,-1.476927,Advanced Manufacturing,25,West Midlands CA
12497398,PowerX Equipment,52.477572,-1.62901,Advanced Manufacturing,25,West Midlands CA
12508086,MEL Aviation Components,51.127809,-0.181947,Advanced Manufacturing,0,Coast to Capital
12515730,DD Scientific,50.845377,-1.118494,Advanced Manufacturing,23,Solent
12561119,All Greens,51.478111,-0.135653,Advanced Manufacturing,14,London
12590994,Vertical Aerospace,51.448043,-2.570453,Advanced Manufacturing,19,West of England CA
12656886,Preformed Windings,53.345317,-1.296847,Advanced Manufacturing,26,South Yorkshire CA
12668175,HydraB Power,51.752023,-1.259758,Advanced Manufacturing,29,Oxfordshire
12741119,Group55,53.65059,-2.655675,Advanced Manufacturing,0,Lancashire
12821248,Saraco Industries,53.552685,-2.402362,Advanced Manufacturing,27,Greater Manchester CA
13044807,Wireless CCTV,53.603053,-2.128093,Advanced Manufacturing,27,Greater Manchester CA
13046246,G&M Safe Deck,53.191863,-2.440163,Advanced Manufacturing,0,Cheshire and Warrington
13167133,OBEX Protection,52.165289,-2.201107,Advanced Manufacturing,0,Worcestershire
13181520,J Manny,51.570461,-3.237495,Advanced Manufacturing,0,Wales
13191371,Wilson Power Solutions,53.764608,-1.548742,Advanced Manufacturing,10,West Yorkshire CA
13238932,Thameen,51.514587,-0.152814,Advanced Manufacturing,14,London
13386005,Delfield Group,51.557264,-0.382997,Advanced Manufacturing,14,London
13404639,Steel Dynamics UK,53.722964,-2.453574,Advanced Manufacturing,28,Lancashire
13417581,AM2PM,52.681184,-1.823915,Advanced Manufacturing,25,West Midlands CA
13532323,Greenstock Lamp Company,53.202171,-0.597103,Advanced Manufacturing,0,Greater Lincolnshire
13589999,Brentwood Auto Spares,51.708455,0.371136,Advanced Manufacturing,0,Essex
13728121,Selectaglaze,51.749838,-0.281369,Advanced Manufacturing,14,London
13875930,rhames,53.072579,-1.25271,Advanced Manufacturing,24,East Midlands CCA
